ligand_canonical_id,canonical_smiles,e3_uniprot,neo_uniprot,neo_gene_symbol,moa_type,endpoint_tier,endpoint_category,source_dataset,has_pdb_structure,mutation,is_family_level,label_positive,regime
ZBYHJTWQLPDJLX-WJXNCILBSA-N,COC1CCN(C/C=C/C(=O)N2CCN3c4cc(-c5ccccc5O)nnc4NC[C@H]3C2)C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
IBQDRIVHIVOWLT-FBGVAPFISA-N,O=C(/C=C/CN1CCC[C@H]1CO)N1CCN2c3cc(-c4ccccc4O)nnc3NCC2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
GGALTCPWYIYYJT-JYTYRXJUSA-N,C[C@H]1CCCN1C/C=C/C(=O)N1CCN2c3cc(-c4ccccc4O)nnc3NCC2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
OJGQRWGTQDROOQ-DHZHZOJOSA-N,CC1c2c([nH]c3nnc(-c4ccccc4O)cc23)CCN1C(=O)/C=C/CN1CCCCCC1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
PSBIIEOTFKVCIS-NAASZUNDSA-N,O=C(/C=C/CN1CCC2(CC1)COC2)N1CCN2c3cc(-c4ccccc4O)nnc3NC[C@H]2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
WAYBBJAGGZDIKQ-KYSPIZMNSA-N,CC1CC(C)N1C/C=C/C(=O)N1CCN2c3cc(-c4ccccc4O)nnc3NC[C@H]2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
FKGBPVPIFVPBAS-NAASZUNDSA-N,O=C(/C=C/CN1CCC2(CC1)CC2)N1CCN2c3cc(-c4ccccc4O)nnc3NC[C@H]2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
HSRPGVJRGUMMFF-JGIVAVPZSA-N,O=C(/C=C/CN1CCCC12CC2)N1CCN2c3cc(-c4ccccc4O)nnc3NC[C@H]2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
KHWJUOVJRQHRGJ-XADIBXCSSA-N,O=C(/C=C/CN1CC2CCC(C2)C1)N1CCN2c3cc(-c4ccccc4O)nnc3NC[C@H]2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
WRPLUODGAMLBLY-CZXUKVBWSA-N,O=C(/C=C/CN1CCCC2(COC2)C1)N1CCN2c3cc(-c4ccccc4O)nnc3NC[C@H]2C1,,P51532,SMARCA4,unknown,1,degradation_evidence,mgdb,False,nan,False,1,pu_primary
